taskid,token_count,original_word_count
TASK0001,6,6
TASK0002,6,6
TASK0003,5,5
TASK0004,6,6
TASK0005,6,6
TASK0006,9,9
TASK0007,8,8
TASK0008,9,9
TASK0009,6,6
TASK0010,6,6
TASK0011,8,8
TASK0012,5,5
TASK0013,9,9
TASK0014,6,6
TASK0015,12,12
TASK0016,7,7
TASK0017,10,10
TASK0018,6,6
TASK0019,6,6
TASK0020,12,12
TASK0021,6,6
TASK0022,7,7
TASK0023,7,7
TASK0024,8,8
TASK0025,8,8
TASK0026,7,7
TASK0027,8,8
TASK0028,7,7
TASK0029,8,8
TASK0030,8,8
TASK0031,6,6
TASK0032,6,6
TASK0033,5,5
TASK0034,5,5
TASK0035,8,8
TASK0036,7,7
TASK0037,6,6
TASK0038,8,8
TASK0039,7,7
TASK0040,9,9
TASK0041,8,8
TASK0042,11,11
TASK0043,7,7
TASK0044,6,6
TASK0045,9,9
TASK0046,6,6
TASK0047,8,8
TASK0048,11,11
TASK0049,5,5
TASK0050,7,7
TASK0051,10,10
TASK0052,10,10
TASK0053,7,7
TASK0054,10,10
TASK0055,7,7
TASK0056,8,8
TASK0057,12,12
TASK0058,9,9
TASK0059,6,6
TASK0060,10,10
TASK0061,5,5
TASK0062,5,5
TASK0063,4,4
TASK0064,10,10
TASK0065,4,4
TASK0066,7,7
TASK0067,5,5
TASK0068,7,7
TASK0069,5,5
TASK0070,9,9
TASK0071,7,7
TASK0072,8,8
TASK0073,7,7
TASK0074,7,7
TASK0075,7,7
TASK0076,6,6
TASK0077,8,8
TASK0078,7,7
TASK0079,5,5
TASK0080,10,10
TASK0081,9,9
TASK0082,5,5
TASK0083,11,11
TASK0084,6,6
TASK0085,6,6
TASK0086,7,7
TASK0087,10,10
TASK0088,8,8
TASK0089,8,8
TASK0090,5,5
TASK0091,8,8
TASK0092,6,6
TASK0093,5,5
TASK0094,7,7
TASK0095,8,8
TASK0096,7,7
TASK0097,8,8
TASK0098,10,10
TASK0099,5,5
TASK0100,6,6
TASK0101,8,8
TASK0102,5,5
TASK0103,7,7
TASK0104,11,11
TASK0105,12,12
TASK0106,6,6
TASK0107,4,4
TASK0108,7,7
TASK0109,6,6
TASK0110,10,10
TASK0111,9,9
TASK0112,10,10
TASK0113,5,5
TASK0114,11,11
TASK0115,11,11
TASK0116,8,8
TASK0117,6,6
TASK0118,8,8
TASK0119,9,9
TASK0120,7,7
TASK0121,10,10
TASK0122,7,7
TASK0123,9,9
TASK0124,11,11
TASK0125,6,6
TASK0126,11,11
TASK0127,9,9
TASK0128,11,11
TASK0129,7,7
TASK0130,6,6
TASK0131,9,9
TASK0132,8,8
TASK0133,6,6
TASK0134,6,6
TASK0135,7,7
TASK0136,9,9
TASK0137,8,8
TASK0138,6,6
TASK0139,6,6
TASK0140,6,6
TASK0141,11,11
TASK0142,12,12
TASK0143,8,8
TASK0144,9,9
TASK0145,8,8
TASK0146,10,10
TASK0147,6,6
TASK0148,6,6
TASK0149,8,8
TASK0150,8,8
TASK0151,10,10
TASK0152,8,8
TASK0153,7,7
TASK0154,4,4
TASK0155,3,3
TASK0156,4,4
TASK0157,9,9
TASK0158,10,10
TASK0159,8,8
TASK0160,9,9
TASK0161,6,6
TASK0162,7,7
TASK0163,7,7
TASK0164,9,9
TASK0165,4,4
TASK0166,4,4
TASK0167,8,8
TASK0168,7,7
TASK0169,5,5
TASK0170,10,10
TASK0171,6,6
TASK0172,10,10
TASK0173,6,6
TASK0174,6,6
TASK0175,8,8
TASK0176,11,11
TASK0177,6,6
TASK0178,7,7
TASK0179,5,5
TASK0180,7,7
TASK0181,6,6
TASK0182,8,8
TASK0183,8,8
TASK0184,7,7
TASK0185,11,11
TASK0186,8,8
TASK0187,9,9
TASK0188,8,8
TASK0189,9,9
TASK0190,8,8
TASK0191,5,5
TASK0192,7,7
TASK0193,5,5
TASK0194,5,5
TASK0195,12,12
TASK0196,9,9
TASK0197,4,4
TASK0198,10,10
TASK0199,6,6
TASK0200,4,4
TASK0201,6,6
TASK0202,6,6
TASK0203,8,8
TASK0204,4,4
TASK0205,7,7
TASK0206,7,7
TASK0207,9,9
TASK0208,4,4
TASK0209,9,9
TASK0210,8,8
TASK0211,6,6
TASK0212,5,5
TASK0213,7,7
TASK0214,6,6
TASK0215,7,7
TASK0216,9,9
TASK0217,7,7
TASK0218,6,6
TASK0219,8,8
TASK0220,7,7
TASK0221,6,6
TASK0222,6,6
